,title,author,release year,synopsis,book length,rating,number of ratings
924,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,2022,"Bryce Quinlan and Hunt Athalar are trying to get back to normal―they may have saved Crescent City, but with so much upheaval in their lives lately, they mostly want a chance to relax. Slow down. Figure out what the future holds.The Asteri have kept their word so far, leaving Bryce and Hunt alone. But with the rebels chipping away at the Asteri’s power, the threat the ruler",805,4.52,151116
925,"The Perfect Play (Play by Play, #1)",Jaci Burton,2011,"Football pro Mick Riley is an all-star, both on the field and in the bedroom. But a sexy, determinedly single mom just might be the one to throw him off his game...For years Mick has been taking full advantage of the life available to a pro athlete: fame, fortune, and a different girl in every city. But when he meets and beds confident, beautiful event planner Tara Lincoln",324,3.9,38713
926,"Slightly Dangerous (Bedwyn Saga, #6)",Mary Balogh,2004,"BONUS: This edition contains an excerpt from Mary Balogh's The Secret Mistress.All of London is abuzz over the imminent arrival of Wulfric Bedwyn, the reclusive, cold-as-ice Duke of Bewcastle, at the most glittering social event of the season. Some whisper of a tragic love affair. Others say he is so aloof and passionless that not even the greatest beauty could capture his",365,4.21,19432
927,"Until November (Until, #1)",Aurora Rose Reynolds,2013,"November is looking forward to getting to know her father and the safety of a small town. After leaving the Big Apple and her bad memories for Tennessee, November starts working for her dad at his strip club doing the books. The one time she’s allowed there during club hours she runs into Asher Mayson. He’s perfect until he opens his mouth and makes assumptions. November w",291,4.09,50523
928,"The Day of the Duchess (Scandal & Scoundrel, #3)",Sarah MacLean,2017,"The one woman he will never forget…Malcolm Bevingstoke, Duke of Haven, has lived the last three years in self-imposed solitude, paying the price for a mistake he can never reverse and a love he lost forever. The dukedom does not wait, however, and Haven requires an heir, which means he must find himself a wife by summer’s end. There is only one problem—he already has one.T",400,3.92,14031
929,"Tempting the Best Man (Gamble Brothers, #1)",J. Lynn,2012,"Madison Daniels has worshiped her brother's best friend since they were kids. Everyone thinks she and Chase Gamble would make the perfect couple, but there are two major flaws in their logic. 1) Chase has sworn off relationships of any kind and 2) after blurring the line between friends and lovers for one night four years ago, they can't stop bickering. Forced together for",172,3.69,33510
930,"Float Plan (Beck Sisters, #1)",Trish Doller,2021,"Critically acclaimed author Trish Doller's unforgettable and romantic adult debut about setting sail, starting over, and finding yourself...Since the loss of her fiancé, Anna has been shipwrecked by grief—until a reminder goes off about a trip they were supposed to take together. Impulsively, Anna goes to sea in their sailboat, intending to complete the voyage alone.But af",272,4.0,21703
931,"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",Helen Fielding,1999,"Lurching from the cappuccino bars of Notting Hill to the blissed-out shores of Thailand, Bridget Jones searches for The Truth in spite of pathetically unevolved men, insane dating theories, and Smug Married advice (""'I'm just calling to say in the potty! In the potty! Well, do it in Daddy's hand, then!'""). She experiences a zeitgeist-esque Spiritual Epiphany somewhere betw",352,3.6,107531
932,"Us (Him, #2)",Sarina Bowen,2016,"Can your favorite hockey players finish their first season together undefeated?Five months in, NHL forward Ryan Wesley is having a record-breaking rookie season. He’s living his dream of playing pro hockey and coming home every night to the man he loves—Jamie Canning, his longtime best friend turned boyfriend. There’s just one problem: the most important relationship of hi",322,4.32,26412
933,Dumplin' (Dumplin' #1),Julie   Murphy,2015,"Self-proclaimed fat girl Willowdean Dickson (dubbed “Dumplin’” by her former beauty queen mom) has always been at home in her own skin. Her thoughts on having the ultimate bikini body? Put a bikini on your body. With her all-American beauty best friend, Ellen, by her side, things have always worked…until Will takes a job at Harpy’s, the local fast-food joint. There she mee",371,3.9,83838
934,"Love Hacked (Knitting in the City, #3)",Penny Reid,2014,"There are three things you need to know about Sandra Fielding: 1) She makes all her first dates cry, 2) She hasn't been kissed in over two years, and 3) She knows how to knit.  Sandra has difficulty removing her psychotherapist hat. Of her last 30 dates, 29 have ended the same way: the man sobbing uncontrollably. After one such disaster, Sandra gives in to a seemingly harm",402,4.12,24306
935,"Kushiel's Dart (Phèdre's Trilogy, #1)",Jacqueline Carey,2001,"The land of Terre d'Ange is a place of unsurpassing beauty and grace. It is said that angels found the land and saw it was good... and the ensuing race that rose from the seed of angels and men live by one simple rule: Love as thou wilt. Phèdre nó Delaunay is a young woman who was born with a scarlet mote in her left eye. Sold into indentured servitude as a child, her bond",1040,4.01,77268
936,Twenties Girl (Hardcover),Sophie Kinsella,2009,"Lara Lington has always had an overactive imagination, but suddenly that imagination seems to be in overdrive. Normal professional twenty-something young women don’t get visited by ghosts. Or do they?When the spirit of Lara’s great-aunt Sadie—a feisty, demanding girl with firm ideas about fashion, love, and the right way to dance—mysteriously appears, she has one request: ",435,3.85,161930
937,Alone With You in the Ether (Hardcover),Olivie Blake,2020,"From Olivie Blake, the New York Times bestselling author of The Atlas Six, comes an intimate and contemporary study of time, space, and the nature of love. Alone with You in the Ether explores what it means to be unwell, and how to face the fractures of yourself and still love as if you're not broken.CHICAGO, SOMETIME—Two people meet in the Art Institute by chance. Prior t",288,4.2,18789
938,Ain't She Sweet? (Paperback),Susan Elizabeth Phillips,2004,"In high school Sugar Carey had reigned supreme. She alone had decided what or who was cool. Her spiral perm had been the perm against which all others were measured, and her opinion on which boys were acceptable to date the only one that counted. A beautiful, blonde - if not always benevolent - dictator, she had a reputation for being the wild child in her home town, the g",464,4.08,23538
939,The Falling in Love Montage (Hardcover),Ciara Smyth,2020,"Saoirse doesn’t believe in love at first sight or happy endings. If they were real, her mother would still be able to remember her name and not in a care home with early onset dementia. A condition that Saoirse may one day turn out to have inherited. So she’s not looking for a relationship. She doesn’t see the point in igniting any romantic sparks if she’s bound to burn ou",368,3.89,18347
940,Mine to Possess (Psy-Changeling #4),Nalini Singh,2008,"
Nalini Singh pulls away another dark layer of sheer desire, revealing passions unknown, in her latest novel about the world of the Psy. A ghost returns from a leopard changeling’s past, making him question everything—even his base animal instincts . . .
Clay Bennett is a powerful DarkRiver sentinel, but he grew up in the slums with his human mother, never knowing his ch",328,4.08,30154
941,"How to Marry a Marquis (Agents of the Crown, #2)",Julia Quinn,1999,"She’s trying to follow the rules…When Elizabeth Hotchkiss stumbles upon a copy of How to Marry a Marquis in her employer’s library, she’s convinced someone is playing a cruel joke. With three younger siblings to support, she knows she has to marry for money, but who might have guessed how desperate she’s become? A guidebook to seduction might be just the thing she needs—an",375,4.04,20497
942,"First Drop of Crimson (Night Huntress World, #1)",Jeaniene Frost,2010,The night is not safe for mortals.Denise MacGregor knows all too well what lurks in the shadows – her best friend is half-vampire Cat Crawfield – and she has already lost more than the average human could bear. But her family’s dark past is wrapped in secrets and shrouded in darkness – and a demon shapeshifter has marked Denise as prey. Now her survival depends on an immor,371,4.14,56219
943,"Battle Royal (Palace Insiders, #1)",Lucy  Parker,2021,"Beloved author Lucy Parker pens a delicious new romantic comedy that is a battle of whisks and wits.Ready…Four years ago, Sylvie Fairchild charmed the world as a contestant on the hit baking show, Operation Cake. Her ingenious, colorful creations captivated viewers and intrigued all but one of the judges, Dominic De Vere, the hottest pastry chef in London. When her glitter",397,3.84,8793
944,"Unveiled (Turner, #1)",Courtney Milan,2011,"Ash Turner has waited a lifetime to seek revenge on the man who ruined his family - and now the time for justice has arrived. At Parford Manor, he intends to take his place as the rightful heir to the dukedom and settle an old score with the current duke once and for all. But instead he finds himself drawn to a tempting beauty who has the power to undo all his dreams of ve",384,3.86,9105
945,The Summer of Broken Rules (Hardcover),K.L. Walther,2021,"A romance novel inspired by the songs of Taylor Swift! This BookTok sensation is perfect for fans of Jenny Han's The Summer I Turned Pretty and Sarah Dessen's Along for the Ride.Meredith's family's annual game of assassin at Martha's Vineyard during a summer wedding is the perfect chance to honor her sister's legacy, and finally join the world again. But when she forms an ",386,4.07,28866
946,Much Ado About You (Kindle Edition),Samantha Young,2021,"The cozy comforts of an English village bookstore open up a world of new possibilities for Evie Starling in this charming new romantic comedy from New York Times bestselling author Samantha Young.At thirty-three-years old Evangeline Starling's life in Chicago is missing that special something. And when she's passed over for promotion at work, Evie realizes she needs to mak",380,3.67,15445
947,"Hothouse Flower (Calloway Sisters, #2)",Krista Ritchie,2014,"Ryke Meadows, meet Daisy Calloway ... she’s all grown up. Twenty-five-year-old Ryke Meadows knows he’s hard to love. With a billion-dollar inheritance, a track-star resume, and an alpha-male personality—he redefines the term likable asshole. But he’s not living to make friends. Or enemies. He just wants to free climb three of the toughest mountains in Yosemite without dram",479,4.33,39279
948,"Magic Bleeds (Kate Daniels, #4)",Ilona Andrews,2010,"Kate Daniels works for the Order of the Knights of Merciful Aid, officially as a liaison with the mercenary guild. Unofficially, she cleans up the paranormal problems no one else wants to handle—especially if they involve Atlanta’s shapeshifting community.When she’s called in to investigate a fight at the Steel Horse, a bar midway between the territories of the shapeshifte",349,4.44,78949
949,"Sweet Evil (Sweet, #1)",Wendy Higgins,2012,"Embrace the ForbiddenWhat if there were teens whose lives literally depended on being bad influences?This is the reality for sons and daughters of fallen angels.Tenderhearted Southern girl Anna Whitt was born with the sixth sense to see and feel emotions of other people. She's aware of a struggle within herself, an inexplicable pull toward danger, but it isn't until she tu",447,4.07,76883
950,The Blue Castle (Mass Market Paperback),L.M. Montgomery,1926,"An unforgettable story of courage and romance. Will Valancy Stirling ever escape her strict family and find true love?Valancy Stirling is 29, unmarried, and has never been in love. Living with her overbearing mother and meddlesome aunt, she finds her only consolation in the ""forbidden"" books of John Foster and her daydreams of the Blue Castle--a place where all her dreams ",218,4.29,36734
951,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,2021,"
How far would you go for happily ever after?
For as long as she can remember, Evangeline Fox has believed in true love and happy endings... until she learns that the love of her life will marry another.Desperate to stop the wedding and to heal her wounded heart, Evangeline strikes a deal with the charismatic but wicked Prince of Hearts. In exchange for his help, he asks",408,4.15,58490
952,"These Old Shades (Alastair-Audley, #1)",Georgette Heyer,1926,"Under the reign of Louis XV, corruption and intrigue have been allowed to blossom in France. Lord Justin Alastair, the notorious Duke of Avon, known for his coldness of manner, his remarkable omniscience, and his debauched lifestyle. Society believes the worst of Justin, who is clearly proud of his sobriquet, 'Satanas'. In a dark Parisian back alley, he is accosted by Leon",352,4.09,18068
953,"Dark Needs at Night's Edge (Immortals After Dark, #4)",Kresley Cole,2008,"Bestselling author Kresley Cole continues her seductive Immortals After Dark series with this tale of a vampire shunned even by his own kind and a beautiful phantom, bound together by a passion they cannot resist.A RAVEN-HAIRED TEMPTRESS OF THE DARK...Néomi Laress, a famous ballerina from a past century, became a phantom the night she was murdered. Imbued with otherworldly",368,4.29,49180
954,"The Opportunist (Love Me with Lies, #1)",Tarryn Fisher,2011,"Olivia Kaspen has just discovered that her ex-boyfriend, Caleb Drake, has lost his memory. With an already lousy reputation for taking advantage of situations, Olivia must decide how far she is willing to go to get Caleb back. Wrestling to keep her true identity and their sordid past under wraps, Olivia’s greatest obstacle is Caleb’s wicked, new girlfriend; Leah Smith. It ",278,4.2,51392
955,"The Iron Daughter (The Iron Fey, #2)",Julie Kagawa,2010,"Half Summer faery princess, half human, Meghan has never fit in anywhere. Deserted by the Winter prince she thought loved her, she is prisoner to the Winter faery queen. As war looms between Summer and Winter, Meghan knows that the real danger comes from the Iron fey—ironbound faeries that only she and her absent prince have seen. But no one believes her.Worse, Meghan's ow",359,4.08,124451
956,"Something Blue (Darcy & Rachel, #2)",Emily Giffin,2005,"Following the smash-hit Something Borrowed comes story of betrayal, redemption, and forgiveness Darcy Rhone has always been able to rely on a few things: Her beauty and charm. Her fiance, Dex. Her lifelong best friend, Rachel. She never needed anything else. Or so she thinks until Dex calls off their dream wedding and she uncovers the ultimate betrayal. Blaming everyone bu",338,3.94,213771
957,"Own the Wind (Chaos, #1)",Kristen Ashley,2013,"Too hot to handle...Tabitha Allen grew up in the thick of Chaos—the Chaos Motorcycle Club, that is. Her father is Chaos' leader, and the club has always had her back. But one rider was different from the start. When Tabby was running wild, Shy Cage was there. When tragedy tore her life apart, he helped her piece it back together. And now, Tabby's thinking about much more t",433,4.2,47464
958,"Firelight (Darkest London, #1)",Kristen Callihan,2012,"Once the flames are ignited . . . Miranda Ellis is a woman tormented. Plagued since birth by a strange and powerful gift, she has spent her entire life struggling to control her exceptional abilities. Yet one innocent but irreversible mistake has left her family's fortune decimated and forced her to wed London's most nefarious nobleman.They will burn for eternity . . .Lord",372,3.77,16432
959,"Addicted for Now (Addicted, #3)",Krista Ritchie,2013,"He's addicted to booze. She's addicted to sex...staying sober is only half the battle.No. More. Sex. Those are the three words Lily Calloway fears the most. But Loren Hale is determined to be with Lily without enabling her dangerous compulsions. With their new living situation—sleeping in the same bed, for real, together—Lily has new battles. Like not jumping Lo’s bones ev",513,4.26,42708
960,"Beard in Mind (Winston Brothers, #4)",Penny Reid,2017,"NEW YORK TIMES, WALL STREET JOURNAL, & USA TODAY bestselling seriesSemi Finalist: Goodreads Choice Awards, Best Romance 2017All is fair in love and auto maintenance.  Beau Winston is the nicest, most accommodating guy in the world. Usually.  Handsome as the devil and twice as charismatic, Beau lives a charmed life as everyone’s favorite Winston Brother. But since his twin ",393,4.2,22558
961,"The Best Man (Blue Heron, #1)",Kristan Higgins,2013,"Sometimes The Best Man Is The One You Least Expect...Faith Holland left her hometown after being jilted at the altar. Now a little older and wiser, she’s ready to return to the Blue Heron Winery, her family’s vineyard, to confront the ghosts of her past, and maybe enjoy a glass of red. After all, there’s some great scenery there....Like Levi Cooper, the local police chief ",426,3.93,27147
962,"Changeless (Parasol Protectorate, #2)",Gail Carriger,2010,"Alexia Maccon, the Lady Woolsey, awakens in the wee hours of the mid-afternoon to find her husband, who should be decently asleep like any normal werewolf, yelling at the top of his lungs. Then he disappears; leaving her to deal with a regiment of supernatural soldiers encamped on her doorstep, a plethora of exorcised ghosts, and an angry Queen Victoria.But Alexia is armed",389,3.99,44786
963,"Bittersweet (True North, #1)",Sarina Bowen,2016,"The new series is set in Vermont. True North is populated by the tough, outdoorsy mountain men that populate the Green Mountain State. They raise cows and they grow apples. They chop a lot of wood, especially when they need to blow off steam. (Beards are optional but encouraged.)If you can’t stand the heat, get out of the orchard.The last person Griffin Shipley expects to ",348,4.04,19508
964,The Best Thing (Kindle Edition),Mariana Zapata,2019,Some things are easily forgiven. Other things… not so much.  Lenny DeMaio made herself a promise: she was done.  Done thinking about him.  Done worrying about him.  Done reaching out to a man who clearly didn’t want to be found.  Too bad no one gave Jonah Collins the memo.,480,3.99,27936
965,The Obsession (Hardcover),Nora Roberts,2016,"“She stood in the deep, dark woods, breath shallow and cold prickling over her skin despite the hot, heavy air. She took a step back, then two, as the urge to run fell over her.”  Naomi Bowes lost her innocence the night she followed her father into the woods. In freeing the girl trapped in the root cellar, Naomi revealed the horrible extent of her father’s crimes and made",453,4.21,71821
966,"The Mighty Storm (The Storm, #1)",Samantha Towle,2012,"It's been twelve years since Tru Bennett last saw Jake Wethers, her former best friend and boy she once loved.Jake Wethers, sexy, tattooed and deliciously bad lead singer, and brains behind The Mighty Storm, one of the biggest bands in the world, left Tru with a broken heart when he moved from England to America with his family when they were both fourteen.Sent to intervie",442,4.16,72206
967,A Lady for a Duke (Paperback),Alexis  Hall,2022,"A lush, sweeping queer historical romance from the bestselling author of Boyfriend Material—perfect for fans of Netflix’s Bridgerton, Evie Dunmore, and Manda Collins!When Viola Carroll was presumed dead at Waterloo she took the opportunity to live, at last, as herself. But freedom does not come without a price, and Viola paid for hers with the loss of her wealth, her title",460,4.21,6029
968,Opposite of Always (Kindle Edition),Justin A. Reynolds,2019,"Debut author Justin A. Reynolds delivers a hilarious and heartfelt novel about the choices we make, the people we choose, and the moments that make a life worth reliving.When Jack and Kate meet at a party, bonding until sunrise over their mutual love of Froot Loops and their favorite flicks, Jack knows he’s falling—hard. Soon she’s meeting his best friends, Jillian and Fra",451,3.67,22288
969,"Wildest Dreams (Fantasyland, #1)",Kristen Ashley,2011,"Seoafin “Finnie” Wilde was taught by her parents that every breath was a treasure and to seek every adventure she could find. And she learns this lesson the hard way when they perish in a plane crash. But she never forgets and when she discovers there is a parallel universe where every person has a twin, she finds a witch who can send her there so she can have the adventur",494,4.07,31819
970,"Dance of the Gods (Circle Trilogy, #2)",Nora Roberts,2006,"Combining elements of the supernatural with gripping suspense and seduction, #1 New York Times bestselling author Nora Roberts presents the second novel in her Circle Trilogy… He saw where the earth was scorched, where it was trampled. He saw his own hoofprints left in the sodden earth when he’d galloped through the battle in the form of a horse. And he saw the woman who’d",321,4.16,29877
971,"Half-Blood (Covenant, #1)",Jennifer L. Armentrout,2011,"The Hematoi descend from the unions of gods and mortals, and the children of two Hematoi pure bloods have godlike powers. Children of Hematoi and mortals--well, not so much. Half-bloods only have two options: become trained Sentinels who hunt and kill daimons or become servants in the homes of the pures.Seventeen-year-old Alexandria would rather risk her life fighting than",281,4.11,96160
972,"Faking It (Losing It, #2)",Cora Carmack,2013,"Mackenzie “Max” Miller has a problem. Her parents have arrived in town for a surprise visit, and if they see her dyed hair, tattoos, and piercings, they just might disown her. Even worse, they’re expecting to meet a nice, wholesome boyfriend, not a guy named Mace who has a neck tattoo and plays in a band. All her lies are about to come crashing down around her, but then sh",325,3.93,34437
973,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,2013,"After the 1st wave, only darkness remains. After the 2nd, only the lucky escape. And after the 3rd, only the unlucky survive. After the 4th wave, only one rule applies: trust no one.Now, it's the dawn of the 5th wave, and on a lonely stretch of highway, Cassie runs from Them. The beings who only look human, who roam the countryside killing anyone they see. Who have scatter",457,4.02,433565
974,Mr. Perfect (Mass Market Paperback),Linda Howard,2000,"What would make the perfect man?  That's the deliciously racy topic that Jaine Bright and her three girlfriends are pondering one night at their favorite after-hours hot spot: Mr. Perfect. Would he be tall, dark, and handsome? Caring and warmhearted -- or will just muscular do? As their conversation heats up, they concoct a tongue-in-cheek checklist that becomes an overnig",405,4.06,34063
975,Honor's Splendour (Mass Market Paperback),Julie Garwood,1987,"This classic medieval romance from New York Times bestselling author Julie Garwood is a fan favorite—a beautiful lady needs rescue from a knight in shining armor, and gets an alpha warrior instead.In the feuding English court, gentle Lady Madelyne suffered the cruel whims of her ruthless brother, Baron Louddon. Then, in vengeance for a bitter crime, Baron Duncan of Wexton—",374,4.23,31123
976,"Lady Sophia's Lover (Bow Street Runners, #2)",Lisa Kleypas,2002,"Why is Lady Sophia looking for a lover? And could she seduce the most marriageable man in London?Lady Sophia Sydney would do anything to ensnare the unattainable Sir Ross Cannon. Her goal: to ruin his reputation and cause a scandal that would be the talk of all London. So she insinuates herself into his life by gaining his trust and living in his house.Every morning, her l",377,3.96,19157
977,Fight or Flight (Paperback),Samantha Young,2018,"
A series of chance encounters leads to a sizzling new romance from the 

New York Times

 bestselling author of the On Dublin Street series. 
The universe is conspiring against Ava Breevort. As if flying back to Phoenix to bury a childhood friend wasn't hell enough, a cloud of volcanic ash traveling from overseas delayed her flight back home to Boston. Her las",288,3.73,21971
978,The Baller (Kindle Edition),Vi Keeland,2016,"From New York Times & USA Today Bestseller, Vi Keeland, comes a sexy new standalone novel.The first time I met Brody Easton was in the men's locker room.It was my first interview as a professional sportscaster.The famed quarterback decided to bare all.And by all, I don't mean he told me any of his secrets.No. The arrogant ass decided to drop his towel, just as I asked the ",285,4.03,44153
979,"A Girl Like Her (Ravenswood, #1)",Talia Hibbert,2018,"Ruth Kabbah is okay with being an outcast. Between her autism, her comic book nerdery, and the whiff of scandal her small town can’t forget, Ruth will always be Ravenswood’s black sheep. Since she prefers silence and solitude to gossip and pub crawls, that suits her just fine—until Evan Miller comes to town.Ex-military man Evan is gorgeous, confident… and he’s Ruth’s new n",308,3.87,8220
980,The Unexpected Everything (Hardcover),Morgan Matson,2016,"Andie had it all planned out. When you are a politician’s daughter who’s pretty much raised yourself, you learn everything can be planned or spun, or both. Especially your future. Important internship? Check. Amazing friends? Check. Guys? Check (as long as we’re talking no more than three weeks).But that was before the scandal. Before having to be in the same house with he",519,4.0,38823
981,"Sustained (The Legal Briefs, #2)",Emma Chase,2015,"A knight in tarnished armor is still a knight.When you’re a defense attorney in Washington, DC, you see firsthand how hard life can be, and that sometimes the only way to survive is to be harder. I, Jake Becker, have a reputation for being cold, callous, and intimidating—and that suits me just fine. In fact, it’s necessary when I’m breaking down a witness on the stand.Comp",267,4.28,29349
982,"Once and Always (Sequels, #1)",Judith McNaught,1987,"Once and Always, one of Judith McNaught's most masterful and moving love stories, powerfully brings to life the fiery passion of a free-spirited American beauty and a troubled English lord.Suddenly orphaned and alone, Victoria Seaton sails the vast ocean, eager to reclaim her heritage at Wakefield, the sumptuous English estate of a distant cousin, the notorious Lord Jason ",400,4.18,25997
983,"Wild Man (Dream Man, #2)",Kristen Ashley,2011,"She's about to walk on the wild side . . . While filling the display case in her bakery, the bell over the door sounds and Tessa O'Hara looks up to see the man of her dreams. Within thirty seconds he asks her out for a beer. But after four months of dating, she discovers he's an undercover DEA agent-and he's investigating her possible role in her ex-husband's drug business",528,4.19,42456
984,"Hostage to Pleasure (Psy-Changeling, #5)",Nalini Singh,2008,"
With her darkly seductive Psy/Changeling world, Nalini Singh has created “a sensual, dangerous adventure not to be missed” (NYT bestselling author Lora Leigh). Now, as the deadly Psy Council tightens its grip, a rebel Psy scientist finds herself at the mercy of a changeling who has sworn vengeance against her kind . . .
Separated from her son and forced to create a neur",330,4.18,30702
985,Hands Down (Kindle Edition),Mariana Zapata,2020,"Before he was Big Texas, he was Zac the Snack Pack.Bianca Brannen knows time--mostly--heals all wounds. Including those your once loved ones might have unintentionally given you. (Those just take longer.)She thinks she’s ready when a call has her walking back into her old friend’s life. Or at least as prepared as possible to see the starting quarterback in the National Foo",550,3.96,32373
986,"The Bird and the Sword (The Bird and the Sword Chronicles, #1)",Amy Harmon,2016,"Swallow, Daughter, pull them in, those words that sit upon your lips. Lock them deep inside your soul, hide them ‘til they’ve time to grow. Close your mouth upon the power, curse not, cure not, ‘til the hour. You won’t speak and you won’t tell, you won’t call on heav’n or hell. You will learn and you will thrive. Silence, Daughter. Stay alive. The day my mother was killed,",328,4.2,36320
987,"Once Upon a Winter's Eve (Spindle Cove, #1.5)",Tessa Dare,2011,"Some wallflowers bloom at night... A Spindle Cove NovellaViolet Winterbottom is a quiet girl. She speaks six languages, but seldom raises her voice. She endured bitter heartbreak in perfect silence. The gentlemen aren't beating down her door. Until the night of the Spindle Cove Christmas ball, when a mysterious stranger crashes into the ballroom and collapses at Violet's f",113,3.59,11582
988,The Scorpio Races (Hardcover),Maggie Stiefvater,2011,"It happens at the start of every November: the Scorpio Races. Riders attempt to keep hold of their water horses long enough to make it to the finish line. Some riders live. Others die.At age nineteen, Sean Kendrick is the returning champion. He is a young man of few words, and if he has any fears, he keeps them buried deep, where no one else can see them.Puck Connolly is d",409,4.08,105997
989,"Shelter Mountain (Virgin River, #2)",Robyn Carr,2007,"For the second time in a year a woman arrives in the small town of Virgin River trying to escape the past.John “Preacher” Middleton is about to close the bar when a young woman and her three-year-old son come in out of a wet October night. A marine who has seen his share of pain, Preacher knows a crisis when he sees one—the woman is covered in bruises. He wants to protect ",384,4.17,37378
990,Conversations with Friends (Kindle Edition),Sally Rooney,2017,"A sharply intelligent novel about two college students and the strange, unexpected connection they forge with a married couple.Frances is twenty-one years old, cool-headed, and darkly observant. A college student and aspiring writer, she devotes herself to a life of the mind--and to the beautiful and endlessly self-possessed Bobbi, her best friend and comrade-in-arms. Love",304,3.81,338938
991,My Not So Perfect Life (Paperback),Sophie Kinsella,2017,"NEW YORK TIMES BESTSELLER - Part love story, part workplace drama, this sharply observed novel is a witty critique of the false judgments we make in a social-media-obsessed world. New York Times bestselling author Sophie Kinsella has written her most timely novel yet.Everywhere Katie Brenner looks, someone else is living the life she longs for, particularly her boss, Demet",448,3.8,111635
992,"Wrong (Cafe, #1)",Jana Aston,2015,"I have a history of picking the wrong guy. Gay? Player? Momma’s boy? Check, check and check.Now I can’t stop fantasizing about one of the customers at the coffee shop I work at between classes. It’s just a harmless crush, right? It’s not like I ever see this guy outside of the coffee shop. It’s not like I’m going to see him while attempting to get birth control at the stud",286,3.84,43621
993,"Lothaire (Immortals After Dark, #11)",Kresley Cole,2012,"Number-one New York Times best-selling author Kresley Cole continues her electrifying Immortals After Dark series with this thrilling tale, revealing secrets of the Lore, fierce realm of the immortals....All fear the enemy of old.Driven by his insatiable need for revenge, Lothaire, the Lore’s most ruthless vampire, plots to seize the Horde’s crown. But bloodlust and tortur",468,4.38,44918
994,"Lord of the Fading Lands (Tairen Soul, #1)",C.L. Wilson,2007,"Once he drove back the darkness. Once he loved with such passion his name was legend.Once, driven wild with grief over the murder of his beloved, the majestic Fey King Rain Tairen Soul had laid waste to the world before vanishing into the Fading Lands. Now, a thousand years later, a new threat draws him back into the world—and a new love reawakens the heart he thought long",406,3.99,20804
995,"Smaragdgrün (Edelstein-Trilogie, #3)",Kerstin Gier,2010,"Gwendolyn ist am Boden zerstört. War Gideons Liebesgeständnis nur eine Farce, um ihrem großen Gegenspieler, dem düsteren Graf von Saint Germain, in die Hände zu spielen? Fast sieht es für die junge Zeitreisende so aus. Doch dann geschieht etwas Unfassbares, das Gwennys Weltbild einmal mehr auf den Kopf stellt. Für sie und Gideon beginnt eine atemberaubende Flucht in die Ve",482,4.19,88106
996,The Holiday Swap (Kindle Edition),Maggie Knox,2021,"A feel-good, holiday-themed romantic comedy about identical twins who switch lives in the days leading up to Christmas--perfect for fans of Christina Lauren's In a Holidaze and Josie Silver's One Day in December. All they want for Christmas is a different life. When chef Charlie Goodwin gets hit on the head on the L.A. set of her reality baking show, she loses a lot more t",351,3.61,36104
997,"The Stopover (The Miles High Club, #1)",T.L. Swan,2019,"
A memorable night of passion refuses to stay just a memory in this sizzling and scandalous romance from bestselling author T L Swan.
I was upgraded to first class on a flight from London to New York.The food, champagne, and service were impeccable. The blue-eyed man sitting next to me, even better. He was suave and intelligent. We talked and laughed, and something click",521,4.1,83232
998,Midnight Bayou (Mass Market Paperback),Nora Roberts,2001,"#1 New York Times bestselling author Nora Roberts presents a novel set deep in the bayou of Louisiana—where the only witness to a long-ago tragedy is a once-grand house… Declan Fitzgerald had always been the family maverick, but even he couldn't understand his impulse to buy a dilapidated mansion on the outskirts of New Orleans. All he knew was that ever since he first saw",338,3.99,33186
999,Lady Chatterley's Lover (Hardcover),D.H. Lawrence,1928,"Lawrence's frank portrayal of an extramarital affair and the explicit sexual explorations of its central characters caused this controversial book, now considered a masterpiece, to be banned as pornography until 1960.",376,3.51,111798
1000,"Big Rock (Big Rock, #1)",Lauren Blakely,2016,"It's not just the motion of the ocean, ladies. It's definitely the SIZE of the boat too. And I've got both firing on all cylinders. In fact, I have ALL the right assets. Looks, brains, my own money, and a big c*&k.You might think I'm an a*&hole. I sound like one, don’t I? I'm hot as sin, rich as heaven, smart as hell and hung like a horse.Guess what? You haven't heard my s",235,3.93,32326
1001,The Silver Linings Playbook (Paperback),Matthew Quick,2008,"Meet Pat. Pat has a theory: his life is a movie produced by God. And his God-given mission is to become physically fit and emotionally literate, whereupon God will ensure a happy ending for him — the return of his estranged wife, Nikki. (It might not come as a surprise to learn that Pat has spent time in a mental health facility.) The problem is, Pat's now home, and everyt",291,3.98,154784
1002,"Hate to Want You (Forbidden Hearts, #1)",Alisha Rai,2017,"One night. No one will know. That was the deal. Every year, Livvy Kane and Nicholas Chandler would share one perfect night of illicit pleasure. The forbidden hours let them forget the tragedy that haunted their pasts—and the last names that made them enemies. Until the night she didn’t show up. Now Nicholas has an empire to run. He doesn’t have time for distractions and Li",371,3.72,6516
